順位,暫定評価
397,0.857994
398,0.857994
399,0.8576869
400,0.8572569
401,0.8570112
402,0.8569498
403,0.8568884
404,0.8566427
405,0.8566427
406,0.8565813
407,0.8565199
408,0.8565199
409,0.8565199
410,0.8561513
411,0.8561513
412,0.8561513
413,0.8561513
414,0.8561513
415,0.8560285
416,0.8559057
417,0.8558442
418,0.8558442
419,0.8555986
420,0.8555371
421,0.8552914
422,0.8551686
423,0.8549843
424,0.8549229
425,0.8549229
426,0.8548615
427,0.8547387
428,0.8546772
429,0.8546772
430,0.8546772
431,0.8546772
432,0.8546158
433,0.8545544
434,0.854493
435,0.8543701
436,0.8543087
437,0.8539402
438,0.8538788
439,0.8537559
440,0.8536331
441,0.8536331
442,0.8534488
443,0.8533874
444,0.8532645
445,0.8530803
446,0.852896
447,0.852896
448,0.852896
449,0.852896
450,0.8528346
451,0.8525889
452,0.8523432
453,0.852159
454,0.8519747
455,0.8518519
456,0.8518519
457,0.8511762
458,0.8511148
459,0.8510534
460,0.8510534
461,0.850562
462,0.850562
463,0.850562
464,0.8504392
465,0.8503163
466,0.8500092
467,0.8498864
468,0.8498864
469,0.8498249
470,0.8497021
471,0.8495793
472,0.8495178
473,0.8493336
474,0.8493336
475,0.8491493
476,0.8490879
477,0.8490265
478,0.8489651
479,0.8489036
480,0.8487808
481,0.8487808
482,0.8485965
483,0.8484737
484,0.848228
485,0.8480437
486,0.8480437
487,0.8478595
488,0.8478595
489,0.8476752
490,0.8473681
491,0.8471838
492,0.847061
493,0.8467539
494,0.8466925
495,0.8462625
496,0.8459554
497,0.8459554
498,0.8449727
499,0.8448498
500,0.844727
501,0.8446656
502,0.8445427
503,0.8444199
504,0.844297
505,0.844297
506,0.8442356
507,0.8441128
508,0.8439285
509,0.8436828
510,0.8432529
511,0.8431915
512,0.8428229
513,0.8428229
514,0.8417173
515,0.8411645
516,0.8405503
517,0.8392605
518,0.8391376
519,0.8385849
520,0.8366808
521,0.8357595
522,0.8354524
523,0.8352681
524,0.8347767
525,0.8347767
526,0.8347767
527,0.8347767
528,0.8347767
529,0.8347767
530,0.8347767
531,0.8340397
532,0.8336097
533,0.8334869
534,0.8327498
535,0.8323199
536,0.8322585
537,0.829863
538,0.8291874
539,0.8274676
540,0.8261163
541,0.8258706
542,0.8258706
543,0.8258706
544,0.8258706
545,0.8258706
546,0.8258706
547,0.8258706
548,0.8258706
549,0.8258706
550,0.8258706
551,0.8258706
552,0.8258706
553,0.8258706
554,0.8258706
555,0.8258706
556,0.8258706
557,0.8258706
558,0.8224311
559,0.8208341
560,0.8160432
561,0.8159204
562,0.8151219
563,0.8136478
564,0.8131564
565,0.8128493
566,0.8117438
567,0.8114366
568,0.8113138
569,0.8111295
570,0.810024
571,0.8097783
572,0.8082427
573,0.8079356
574,0.8078742
575,0.8067072
576,0.8063387
577,0.806093
578,0.8024691
579,0.8024691
580,0.8024691
581,0.8024691
582,0.8024691
583,0.8016092
584,0.8014864
585,0.801425
586,0.801425
587,0.8013636
588,0.8010564
589,0.8007493
590,0.7999509
591,0.7997666
592,0.7997052
593,0.7993367
594,0.799091
595,0.797924
596,0.797924
597,0.7969412
598,0.796757
599,0.7909834
600,0.7909834
601,0.7909834
602,0.7909834
603,0.7909834
604,0.7909834
605,0.7909834
606,0.7909834
607,0.7909834
608,0.7909834
609,0.7872367
610,0.7818316
611,0.7813402
612,0.7809103
613,0.7794976
614,0.7777164
615,0.7745839
616,0.7739697
617,0.7723727
618,0.7718813
619,0.767889
620,0.7641423
621,0.7637123
622,0.7635895
623,0.7635895
624,0.7635895
625,0.7635895
626,0.7635895
627,0.7614397
628,0.7557275
629,0.7497082
630,0.7368098
631,0.7174621
632,0.7134083
633,0.6992199
634,0.6767398
635,0.6472575
636,0.6309809
637,0.5488606
638,0.4984952
639,0.4984952
640,0.4984952
641,0.4984952
642,0.4984952
643,0.4984952
644,0.4984952
645,0.4984952
646,0.4984952
647,0.4984952
648,0.4984952
649,0.4984952
650,0.4984952
651,0.4984952
652,0.4984952
653,0.2931024
654,0.2205638
655,0.1935999
656,0.1674344
657,0.1509121
658,0.1270806
659,0.0162766
660,0
661,0
662,0
663,0
664,0
665,0
666,0
